image_dir,description,text
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_1.jpg,A ship is sealing throw the sea,
data\output\divide_images_train\Capitulo 10\Comic10_001\panel_2.jpg,Edrei leans on a wall with a sad expression,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_1.jpg,A hand lean on a wall,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_2.jpg,Edrei with a sad expression,
data\output\divide_images_train\Capitulo 10\Comic10_002\panel_3.jpg,Escoria is standing with her arms closed and a relaxed face,
data\output\divide_images_train\Capitulo 10\Comic10_003\panel_1.jpg,The reflecion of the water,¿TODO BIEN?
data\output\divide_images_train\Capitulo 10\Comic10_003\panel_2.jpg,Edrei look at his right with a sad expression,
data\output\divide_images_train\Capitulo 10\Comic10_004\panel_1.jpg,Edrei sights with a sad expression,
data\output\divide_images_train\Capitulo 10\Comic10_004\panel_2.jpg,Edrei is turned back and talks,"¿CÓMO LO HACES? UN ELFO HA MUERTO POR NUESTRA CULPA, Y SU MUERTE NO PARECE HABERTE AFECTADO"
data\output\divide_images_train\Capitulo 10\Comic10_005\panel_1.jpg,Escoria stands with her arms crossed and look at her left with a confused face,
data\output\divide_images_train\Capitulo 10\Comic10_005\panel_2.jpg,Escoria leans on a wall and talks with a curious expression,"Y NO LO HA HECHO, ¿RECUERDAS TU PRIMER BESO? ¿Y EL SEGUNDO?"
data\output\divide_images_train\Capitulo 10\Comic10_005\panel_3.jpg,Edrei looks scared,
data\output\divide_images_train\Capitulo 10\Comic10_006\panel_1.jpg,Escoria is looking with a curious expression,
data\output\divide_images_train\Capitulo 10\Comic10_006\panel_2.jpg,Escoria talks with a serious and sad expression,"HE MATADO A MUCHOS. HE PARTICIPADO EN BATALLAS Y MIS MANOS ESTAN MANCHADAS DE SANGRE. LO QUE LE OCURRIÓ AL ELFO NO ES CULPA NUESTRA, Y EN EL FONDO LO SABES"
data\output\divide_images_train\Capitulo 10\Comic10_007\panel_1.jpg,The reflection of the water with a shadow on it,LA PRIMERA VEZ QUE MATES DE VERDAD LO RECORDARAS POR SIEMPRE. ES UN PRIMER BESO MUY AMARGO
data\output\divide_images_train\Capitulo 10\Comic10_008\panel_1.jpg,A hand is reaching a book in a library,
data\output\divide_images_train\Capitulo 10\Comic10_008\panel_2.jpg,A person holds a book between his hands,
