image_dir,description,text
data\output\divide_images_train\Capitulo 8\Comic8_001\panel_1.jpg,A man with a red jacket is standing looking throw a window with green curtains,
data\output\divide_images_train\Capitulo 8\Comic8_001\panel_2.jpg,A luxury door with ornaments is half open,"MI SEÑOR, HA LLEGADO"
data\output\divide_images_train\Capitulo 8\Comic8_002\panel_1.jpg,A man with a red jacket is standing looking throw a window with green curtains,
data\output\divide_images_train\Capitulo 8\Comic8_002\panel_2.jpg,A elf with a black suit crosses a luxury door with serious expression,
data\output\divide_images_train\Capitulo 8\Comic8_002\panel_3.jpg,E elf is looking throw a room with a library and a desktop with a big painting of a man on the wall,
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_1.jpg,A man with a red jacket and white eyes is standing in front of a window,
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_2.jpg,,"ESPERO QUE SEAS CAPAZ DE HACER LO QUE DICES SER CAPAZ, CUESTAS DEMASIADO"
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_3.jpg,A elf stands with his arms crossed and a quiet face,"LE ASEGURO QUE MIS HONORARIOS SON UN REFLEJO DE MIS CAPACIDADES, MI SEÑOR"
data\output\divide_images_train\Capitulo 8\Comic8_003\panel_4.jpg,A man with white eyes and a red jacket stands in front of a window. Furrows his brow,
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_1.jpg,A decorated desktop with a small sack on it and luxurious chair, "COGE LA BOLSA DE MONEDAS DEL ESCRITORIO, AHÍ TIENES LA MITAD, LA OTRA MITAD CUANDO TERMINES EL TRABAJO"
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_2.jpg,,LO QUIERO MUERTO...
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_3.jpg,A hand grabbing a small sack,ASÍ SE HARÁ
data\output\divide_images_train\Capitulo 8\Comic8_004\panel_4.jpg,A person crossing a luxury door with golden ornaments,
data\output\divide_images_train\Capitulo 8\Comic8_005\panel_1.jpg,A man with a shady face and white eyes looks angry in front of a window,"VIGÍLALE, YA SABES QUE HACER..."
data\output\divide_images_train\Capitulo 8\Comic8_005\panel_2.jpg,A person with a cloack and a hood hides in the shadows near a green curtain,
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_1.jpg,A city with oriental buildings and a river,
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_2.jpg,Escoria holds an elf by the clothes on a ledge over the void with a city in the background,
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_3.jpg,Escoria threats an elf grabbing him by the clothes,¿QUIÉN TE ORDENÓ HACER ESTO?
data\output\divide_images_train\Capitulo 8\Comic8_006\panel_4.jpg,Edrei stands with worried and concerned expression,
data\output\divide_images_train\Capitulo 8\Comic8_007\panel_1.jpg,An elf face shows a sad expression. He's crying,"OS LO DIRÉ, OS LO DIRÉ TODO. ¡PERO NO ME TIRES!"
data\output\divide_images_train\Capitulo 8\Comic8_007\panel_2.jpg,An elf has a surprised face with tears. Escoria's face is shocked, NGH!!
data\output\divide_images_train\Capitulo 8\Comic8_007\panel_3.jpg,Escoria's face is shocked and surprised,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_1.jpg,Edrei and Escoria are leaning on a ledge. Edrei shows impacted and surprised. Escoria has a quiet face. A dead body lies with blood on the floor surrounded by people,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_2.jpg,Edrei is standing near a ledge with a surprise expression. Escoria leans and show dissapointment,
data/output/divide_images_train/Capitulo 8/Comic8_008/panel_3.jpg,A corpse is on a pool of blood. Some people walks around,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_4.jpg,Escoria is focusing her look on somewhere. A black person is jumping on a building's roof in a city,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_5.jpg,Escoria seems surprised and fits her look,
data\output\divide_images_train\Capitulo 8\Comic8_008\panel_6.jpg,A figure of a person is jumping on a roof in a city,
