image_dir,description,text
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_1.jpg,Escoria and Edrei are turned back. A man sitted on a wagon smiles with humble, VARIOS DÍAS DESPUÉS ¡ADIÓS DON MANUEL!
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_2.jpg,Escoria and Edrei walks near a large house on a busy street of the port. A man carries a box along the docks. A man is sitting at the end of the pier looking at the sea. Two women are talking near a house wall, PUERTO BLANCO
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_3.jpg,Escoria is looking ahead with a calm expression. Edrei looks back to a beautiful woman with a charming face,
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_4.jpg,A hand is near a sack. A man holds a book,
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_5.jpg,Edrei looks back himself with a surprised expression. A man runs with a sack in his hand, ¡ALTO LADRÓN!
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_6.jpg,Escoria has an exasperated expression covering part of her face with her hand. Edrei runs with urgency, MENUDO IDIOTA...
data\output\divide_images_train\Capitulo 4\Comic4_001\panel_7.jpg,Escoria looks forward with an axhausted face, NO SOY LA NIÑERA DE NADIE
data\output\divide_images_train\Capitulo 4\Comic4_002\panel_1.jpg,Escoria is talking with a man, ¿ENTONCES EL BARCO SALE EN QUINCE MINUTOS?
data\output\divide_images_train\Capitulo 4\Comic4_002\panel_2.jpg,Edrei is running with an angry face near a hooded man. A man with a hood and a cloack smiles,
data\output\divide_images_train\Capitulo 4\Comic4_002\panel_3.jpg,Edrei is turning back watching a man running throw a dark street, TE TENGO
data\output\divide_images_train\Capitulo 4\Comic4_002\panel_4.jpg,There are four people. Edrei is turned back looking at three men. A bald and half nacked man with a beard holds a knife. A cloacked bearded man holds a little sack in his hand. A big man with short pants holds a stick in his hands, "VAYA, VAYA ¿QUÉ TENEMOS AQUÍ? UN NIÑO RICO ESTÚPIDO, ERA UNA PREGUNTA RETÓRICA"
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_1.jpg,Edrei looks angry and takes his wand down his right arm. A blonde man standing smiles with an scary face,
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_2.jpg,A hand holds a magic wand, ¡ES UN MAGO!
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_3.jpg,A hand lifts a magic wand. The wand shines with a glow of magic,
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_4.jpg,A man crashes his head and broke a box. A hooked man has a shocked face. A man with a cloack and a hood is running forward. Edrei shows surprised, ¡AARGH!
data\output\divide_images_train\Capitulo 4\Comic4_003\panel_5.jpg,A stick rolls in the air. A foot is hitted. A man stomps on the floor,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_1.jpg,Edrei appears concerned holding his wand. Escoria is surrounded by a yellow glow and has shiny eyes with an angry ando powerful expression. A blonde man looks startled,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_2.jpg,A blonde man i trying to push away Edrei. Escoria's face looks angry. A hand grips an arm. Escoria is throwing a blonde man. A blonde man falls against a man with a cloack,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_3.jpg,A blonde man falls against a man with a cloack. a small sack shines on the floor,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_4.jpg,Edrei looks back himself with a happy face. A bald man with a beard is holding a knife, ¡ESCORIA!
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_5.jpg,Escoria has a furious face and a dangerous looking eyes,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_6.jpg,A bald man is hidding behind a box,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_7.jpg,A bald man with a beard looks scared,
data\output\divide_images_train\Capitulo 4\Comic4_004\panel_8.jpg,Escoria and Edrei are walking down a street. Escoria and Edrei are talking with a calm expression. A boat seals the sea. Escoria turns her head to the right with a comical angry face. Edrei is turned back and seems concerned,"...AAAY MI ESPALDA... ERA EVIDENTE QUE ERA UNA TRAMPA SI NO LLEGAS A APARECER HUBIESE TENIDO PROBLEMAS EL PRIMER PASO ES ACEPTARLO. CUANDO TENGAMOS PROBLEMAS INTENTA SIEMPRE, ENTRE LOS ENEMIGOS Y TÚ, YO ESTÉ DE POR MEDIO. ¿Y SI NO ES POSIBLE? ENTONCES CONCÉNTRATE EN DEFENDERTE Y SALVARTE ¿ACABAMOS DE PERDER EL BARCO?"
