id_restaurante;ambiente;carne;comida_rapida;id_cliente;lacteos;menestra;menu;pollo;vegetariana
11;1;0;0;3423432423;0;0;1;1;0
19;1;0;0;3423432423;0;0;1;1;0
23;1;0;0;3423432423;0;0;1;1;0
86;1;0;0;3423432423;0;0;1;1;0
144;1;0;0;3423432423;0;0;1;1;0
172;1;0;0;3423432423;0;0;1;1;0
280;1;0;0;3423432423;0;0;1;1;0
313;1;0;0;3423432423;0;0;1;1;0
379;1;0;0;3423432423;0;0;1;1;0
387;1;0;0;3423432423;0;0;1;1;0
393;1;0;0;3423432423;0;0;1;1;0
424;1;0;0;3423432423;0;0;1;1;0
436;1;0;0;3423432423;0;0;1;1;0
481;1;0;0;3423432423;0;0;1;1;0
