image_dir,description,text
data\output\divide_images_train\Capitulo 12\Comic12_001\panel_1.jpg,Escoria walks near a burned building with a serious expression,
data\output\divide_images_train\Capitulo 12\Comic12_001\panel_2.jpg,Edrei stands near Escoria and look at her with a worried face. Escoria seems angry,
data\output\divide_images_train\Capitulo 12\Comic12_001\panel_3.jpg,Escoria lift her look with an angry expression,
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_1.jpg,A minotaur with a golden plate is standing next to a well in a burned village,
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_2.jpg,A minotaur smiles and look to the front,TE ESPERABA
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_3.jpg,Escoria takes a sword from her back with a furious expression,
data\output\divide_images_train\Capitulo 12\Comic12_002\panel_4.jpg,Escoria has an angry face,¿HAS SIDO TÚ?
data\output\divide_images_train\Capitulo 12\Comic12_003\panel_1.jpg,A minotaur is looking al a dead person,NO TODOS...
data\output\divide_images_train\Capitulo 12\Comic12_003\panel_2.jpg,Escoria has a furious and angry face,
data\output\divide_images_train\Capitulo 12\Comic12_003\panel_3.jpg,Escoria swings her sword with fury,
data\output\divide_images_train\Capitulo 12\Comic12_004\panel_1.jpg,Escoria attacks a minotaur with a sword. The minotaurs defends himself with a shield,
data\output\divide_images_train\Capitulo 12\Comic12_004\panel_2.jpg,A minotaur charges with a shield and lifts a punch,
data\output\divide_images_train\Capitulo 12\Comic12_004\panel_3.jpg,The minotaur punches Escoria on the belly with brute force. Escoria holds a sword and look in pain,
data\output\divide_images_train\Capitulo 12\Comic12_005\panel_1.jpg,Escoria splites blood from her mouth and has a painfull expression,
data\output\divide_images_train\Capitulo 12\Comic12_005\panel_2.jpg,Escoria steps back at Edrei's side holding her sword. Edrei seems surprised and holds his wand,
data\output\divide_images_train\Capitulo 12\Comic12_005\panel_3.jpg,Edrei moves her magic wand and cast a spell,
data\output\divide_images_train\Capitulo 12\Comic12_006\panel_1.jpg,A hoof crackes the floor with a powerful impact,CRACK
data\output\divide_images_train\Capitulo 12\Comic12_006\panel_2.jpg,A minotaur with a red cape charges forward and lifts his shield,
data\output\divide_images_train\Capitulo 12\Comic12_006\panel_3.jpg,the minotaur punches Edrei at the stomach with an agry face. Edrei drops his wand and looks scared,APARTA NIÑO
data\output\divide_images_train\Capitulo 12\Comic12_007\panel_1.jpg,A minotaur with a red cloack pushes away Edrei by brute force,AAAAAAAAAAAAAAHH!!!
data\output\divide_images_train\Capitulo 12\Comic12_007\panel_2.jpg,Escoria looks impacted and worried. A line of blood is coming out her mouth,EDREI!!!
data\output\divide_images_train\Capitulo 12\Comic12_008\panel_1.jpg,Edrei lies on the floor without moving in a painful pose,
data\output\divide_images_train\Capitulo 12\Comic12_008\panel_2.jpg,Escoria has a furious face and looks with rage,¡ME LAS PAGARÁS!
data\output\divide_images_train\Capitulo 12\Comic12_008\panel_3.jpg,Escoria has a cloack and charges forward with a sword enraged,
data\output\divide_images_train\Capitulo 12\Comic12_009\panel_1.jpg,The minotaur takes the sword between his arm and chest and smiles. Holds a golden shield,
data\output\divide_images_train\Capitulo 12\Comic12_009\panel_2.jpg,A golden shield impacts the side of a sword and cracks it,CRACK!!
data\output\divide_images_train\Capitulo 12\Comic12_009\panel_3.jpg,A minotaur with a red cape and a gold armor smiles,SOLO ERES FUERZA BRUTA
data\output\divide_images_train\Capitulo 12\Comic12_010\panel_1.jpg,Escoria kneels with both hands on the floor. A strong arm shows its punch,
data\output\divide_images_train\Capitulo 12\Comic12_010\panel_2.jpg,Escoria shouts in rage and flames start to twistes around her,
data\output\divide_images_train\Capitulo 12\Comic12_011\panel_1.jpg,A minotaur covers with his red cloack and fire are in front of him,
data\output\divide_images_train\Capitulo 12\Comic12_011\panel_2.jpg,Escoria breathes heavyly with a furious look,
data\output\divide_images_train\Capitulo 12\Comic12_011\panel_3.jpg,A red cape smokes in heat,
data\output\divide_images_train\Capitulo 12\Comic12_012\panel_1.jpg,A minotaur with a golden shield and armor and a red cloac is standing linfting his hand,¿ME TOMARÁS EN SERIO AHORA MUCHACHA?
data\output\divide_images_train\Capitulo 12\Comic12_012\panel_2.jpg,,CAPÍTULO II : FIN
