image_dir,description,text
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_1.jpg,A sailing ship navigates the water at night near a city,KUJIRA DAO
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_2.jpg,Escoria and Edrei lands from the shipboard. A tiger looks back him. A minotaur with a red cloac raises his fist near a thing poor man,
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_3.jpg,Edrei has a scared face and shows his teeth,
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_4.jpg,A hand firmly grips an arm,
data\output\divide_images_train\Capitulo 5\Comic5_001\panel_5.jpg,Escoria holds Edrei's arm. Edrei seems scared. Escoria holds a sword in her back,"NI SE TE OCURRA SEPARARTE DE MI GUARDA EL ORO COMO TE EXPLIQUÉ EN EL BARCO Y NO HABRÁ PROBLEMAS"
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_1.jpg,Escoria and Edrei walks among a lot of people straight to a building. The lights of a building are turned on. Edrei looks back him with a worried expression,
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_2.jpg,Five people and one minutaur are standing around a table. A bald man wears a cloac with a patience look. A minotaur is arm crossed and stands against a wall. A soldier with an ornate helmet and an armor warches quietly. A sitted man has is eyes closed and writes a paper. Escoria and Edrei are turned away,
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_3.jpg,Escoria smiles with a funny face, 
data\output\divide_images_train\Capitulo 5\Comic5_002\panel_4.jpg,Edrei looks to his left with a questioning expression,"¿QUÉ TE HACE TANTA GRACIA, ESCORIA?"
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_1.jpg,Escoria looks happy and holds a sword in her back, HACÍA TIEMPO QUE NO ME HORMIGUEABA EL VIENTRE POR UNA BATALLA. PARECE QUE AQUÍ TENDREMOS ALGÚN DIGNO RIVAL...
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_2.jpg,Edrei and Escoria are standing near a desktop with an ornate armored guard holding a spear and a man with a long blacj beard and sharped ears writes a paper,
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_3.jpg,A hand slices a letter in a desktop who has a man writting on it,
data\output\divide_images_train\Capitulo 5\Comic5_003\panel_4.jpg,A man with a long black beard and sharped ears reads a letter,
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_1.jpg,Edrei peeks out from behind Escoria with a confused expression. Escoria smiles,?
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_2.jpg,A man with a long black beard and sharped ears gives two papers to the front with eyes closed,"ENTRAD POR LA PUERTA OESTE, ALLÍ OS DARÁN LA ORDEN DE ENTRAR A LA ARENA CUANDO OS TOQUE"
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_3.jpg,A hand holds two papers,
data\output\divide_images_train\Capitulo 5\Comic5_004\panel_4.jpg,Edrei and Escoria walks throw a dark entrance. Edrei looks cautious,
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_1.jpg,Two people descend a staircase into a room with a bench in front of a window,
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_2.jpg,Escoria holds her sword with a tranquil face. Edrei looks back. A minotaur is sitting a bench near a window. A red dressed woman with glasses walks holding papers,
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_3.jpg,Edrei and Escoria looks back theirselves. A woman with glasses holds a scroll with a happy expression, "PERDONAD, VENGO A INFORMAROS LAS NORMAS ¿PUEDO VER SUS TARJETAS?"
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_4.jpg,A hand holds a card. A woman with glasses fits her glasses to the face and holds scroll. A woman with glasses pull up a finger and holds a scroll, "CUANDO OS LLAME, VENDRÉIS. PODÉIS USAR VUESTRO ARMAMENTO, SI NO TENÉIS SE OS PROPORCIONARÁ UNO QUE DEBERÁ SER DEVUELTO AL FINALIZAR. POR ÚLTIMO, LOS HECHIZOS DEMASIADO PELIGROSOS ESTÁN RESTRINGIDOS, SI ALGUNO INTENTASE ALGO ASÍ, SERÁ DESCALIFICADO."
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_5.jpg,Edrei and Escoria are sitted down. Edrei has an ill face and the eyes closed. Escoria smiles and holds a sword in her shoulder, "TRAS VARIOS MINUTOS... AY NOOO... ¡¡ESCORIA Y EDREI!!"
data\output\divide_images_train\Capitulo 5\Comic5_005\panel_6.jpg,Escoria and Edrei are walking throw a shiny door. Escoria holds a sword with her right arm and shoulder. Edrei look at his right and cry,
