image_dir,description,text
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_1.jpg,Escoria stands with a curious expression,!
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_2.jpg,Edrei stands near a ledge and shows impacted,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_3.jpg,Escoria turns her head to the right,
data\output\divide_images_train\Capitulo 9\Comic9_001\panel_4.jpg,Escoria is grabbing Edrei's arm and walks. Edrei is looking throw a ledge,
data\output\divide_images_train\Capitulo 9\Comic9_002\panel_1.jpg,Edrei is wanking with a hang grabbing his arm. He looks upset,
data\output\divide_images_train\Capitulo 9\Comic9_002\panel_2.jpg,Edrei cries with a sad expression,
data\output\divide_images_train\Capitulo 9\Comic9_003\panel_1.jpg,Escoria and Edrei are walking throw a street by night. Escoria puts her hand in Edrei's shoulder. They are turned back,
data\output\divide_images_train\Capitulo 9\Comic9_003\panel_2.jpg,A hand push away Edrei. Edrei is walking turned back,¡AY!
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_1.jpg,A hand is near Edrei. Edrei cries with a scared expression,
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_2.jpg,Escoria stands with both arma open,¿QUÉ NARICES TE PASA?
data\output\divide_images_train\Capitulo 9\Comic9_004\panel_3.jpg,Edrei cries with a sad expression and holds his arm,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_1.jpg,Edrei is crying with a tired face,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_2.jpg,Edrei turns away his head with an angry face. He is crying,
data\output\divide_images_train\Capitulo 9\Comic9_005\panel_3.jpg,Escoria grunts and looks irritable,
data\output\divide_images_train\Capitulo 9\Comic9_006\panel_1.jpg,Escoria has her eyes closed and calm expression,DÉJALO. VAMOS...
data\output\divide_images_train\Capitulo 9\Comic9_006\panel_2.jpg,A street  with a stairway,NO PUDIMOS EVITARLO...
data\output\divide_images_train\Capitulo 9\Comic9_007\panel_1.jpg,Escoria and Edrei are walking throw a street in the night,
data\output\divide_images_train\Capitulo 9\Comic9_007\panel_2.jpg,Edrei and Escoria are entering a building with some lights. The building's door is open,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_1.jpg,Escoria look back her with a concerned expression. A man is hiding behind a door,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_2.jpg,A hand is possed in a door and opens it,
data\output\divide_images_train\Capitulo 9\Comic9_008\panel_3.jpg,A woman is walking at night throw a termal garden,
data\output\divide_images_train\Capitulo 9\Comic9_009\panel_1.jpg,A woman is swimming on a zen garden,
data\output\divide_images_train\Capitulo 9\Comic9_009\panel_2.jpg,A woman is swimming and relax lying her head to a rock,
data\output\divide_images_train\Capitulo 9\Comic9_010\panel_1.jpg,Edrei is sitted down with his arms en the belly. Edrei is sad.
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_1.jpg,Escoria is naked and turned back. He is throwing water to her shoulder on a termal baths,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_2.jpg,Edrei lies on a bed with a sad expression and cries,
data\output\divide_images_train\Capitulo 9\Comic9_011\panel_3.jpg,A black covered book,
data\output\divide_images_train\Capitulo 9\Comic9_012\panel_1.jpg,Escoria is sleepeng on a bed with red sheets,
data\output\divide_images_train\Capitulo 9\Comic9_012\panel_2.jpg,Edrei is sanding and looking throw a window. The moon lights in the night,
