ID_TIPO_CUERPO,ID_MODELO,MODELO,PRENDA_APTA
6,1,Llano Classic fit Brillante 1,0
6,2,Llano Classic fit Oscuro 2,0
6,3,Llano Classic fit Neutro 3,0
6,4,Llano Regular fit Brillante 4,1
6,5,Llano Regular fit Oscuro 5,1
6,6,Llano Regular fit Neutro 6,1
6,7,Llano Tailored fit Brillante 7,1
6,8,Llano Tailored fit Oscuro 8,1
6,9,Llano Tailored fit Neutro 9,1
6,10,Llano Costum fit Brillante 10,1
6,11,Llano Costum fit Oscuro 11,1
6,12,Llano Costum fit Neutro 12,1
6,13,Llano Slim fit Brillante 13,1
6,14,Llano Slim fit Oscuro 14,1
6,15,Llano Slim fit Neutro 15,1
6,16,Llano Super slim fit Brillante 16,0
6,17,Llano Super slim fit Oscuro 17,0
6,18,Llano Super slim fit Neutro 18,0
6,19,Linea vertical Classic fit Brillante 19,0
6,20,Linea vertical Classic fit Oscuro 20,0
6,21,Linea vertical Classic fit Neutro 21,0
6,22,Linea vertical Regular fit Brillante 22,1
6,23,Linea vertical Regular fit Oscuro 23,1
6,24,Linea vertical Regular fit Neutro 24,1
6,25,Linea vertical Tailored fit Brillante 25,1
6,26,Linea vertical Tailored fit Oscuro 26,1
6,27,Linea vertical Tailored fit Neutro 27,1
6,28,Linea vertical Costum fit Brillante 28,1
6,29,Linea vertical Costum fit Oscuro 29,1
6,30,Linea vertical Costum fit Neutro 30,1
6,31,Linea vertical Slim fit Brillante 31,1
6,32,Linea vertical Slim fit Oscuro 32,1
6,33,Linea vertical Slim fit Neutro 33,1
6,34,Linea vertical Super slim fit Brillante 34,0
6,35,Linea vertical Super slim fit Oscuro 35,0
6,36,Linea vertical Super slim fit Neutro 36,0
6,37,Linea horizontal Classic fit Brillante 37,0
6,38,Linea horizontal Classic fit Oscuro 38,0
6,39,Linea horizontal Classic fit Neutro 39,0
6,40,Linea horizontal Regular fit Brillante 40,1
6,41,Linea horizontal Regular fit Oscuro 41,1
6,42,Linea horizontal Regular fit Neutro 42,1
6,43,Linea horizontal Tailored fit Brillante 43,1
6,44,Linea horizontal Tailored fit Oscuro 44,1
6,45,Linea horizontal Tailored fit Neutro 45,1
6,46,Linea horizontal Costum fit Brillante 46,1
6,47,Linea horizontal Costum fit Oscuro 47,1
6,48,Linea horizontal Costum fit Neutro 48,1
6,49,Linea horizontal Slim fit Brillante 49,1
6,50,Linea horizontal Slim fit Oscuro 50,1
6,51,Linea horizontal Slim fit Neutro 51,1
6,52,Linea horizontal Super slim fit Brillante 52,0
6,53,Linea horizontal Super slim fit Oscuro 53,0
6,54,Linea horizontal Super slim fit Neutro 54,0
6,55,Cuadrado Classic fit Brillante 55,0
