reviewer_id,place_id,rating
571.0,ChIJ_49r7jn_0YURdP7aK7krgd0,1
42.0,ChIJ_49r7jn_0YURdP7aK7krgd0,1
494.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
189.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
814.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
533.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
971.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
52.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
57.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
664.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
174.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
315.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
484.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
790.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
291.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
641.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
592.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
929.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
528.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
162.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
186.0,ChIJ_49r7jn_0YURdP7aK7krgd0,3
11.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
216.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
653.0,ChIJ_49r7jn_0YURdP7aK7krgd0,3
776.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
450.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
686.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
55.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
867.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
337.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
184.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
162.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
170.0,ChIJ_49r7jn_0YURdP7aK7krgd0,3
626.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
452.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
884.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
600.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
768.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
734.0,ChIJ_49r7jn_0YURdP7aK7krgd0,3
363.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
290.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
753.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
696.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
199.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
142.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
293.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
715.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
169.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
351.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
537.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
319.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
944.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
957.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
981.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
11.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
388.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
22.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
328.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
477.0,ChIJ_49r7jn_0YURdP7aK7krgd0,4
428.0,ChIJ_49r7jn_0YURdP7aK7krgd0,5
