image_dir,description,text
data\output\divide_images_train\Capitulo 6\Comic6_001\panel_1.jpg,A lot of people and a tiger claims and shouts excited,
data\output\divide_images_train\Capitulo 6\Comic6_001\panel_2.jpg,Edrei and Escoria are in front of a opened iron gate. Escoria greets holding her sword with a cheerful expression. Edrei looks cautious,
data\output\divide_images_train\Capitulo 6\Comic6_002\panel_1.jpg,A vibrant sound representation conveying an impact, ¡¡¡POM!!! ¡¡¡POM!!!
data\output\divide_images_train\Capitulo 6\Comic6_002\panel_2.jpg,Edrei and Escoria takes a guard battle position. Edrei holds his magic wand. Escoria holds her sword,
data\output\divide_images_train\Capitulo 6\Comic6_002\panel_3.jpg,A green threaten shinning eyes appears behind a closed iron gate, GRRRRRRR
data\output\divide_images_train\Capitulo 6\Comic6_003\panel_1.jpg,A beast paws lift a iron gate,CREEECK
data\output\divide_images_train\Capitulo 6\Comic6_003\panel_2.jpg,A chimera shows itself in a arena and roars with fury,
data\output\divide_images_train\Capitulo 6\Comic6_003\panel_3.jpg,A chimera roars with a fearsome expression showing its teeth, RAAAAAAAWRRR
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_1.jpg,A chimera stands imposing in a arena,
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_2.jpg,Escoria and Edrei stands deffensive in a arena,
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_3.jpg,A chimera focus his view on Edrei who is in guard position. Escoria stands near him holding her sword with both hands,
data\output\divide_images_train\Capitulo 6\Comic6_004\panel_4.jpg,Escoria looks worried at Edrei who has a chimera in front of him in a arena. Edrei is turned back and looks scared,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_1.jpg,Escoria charges fearless with a battle scream, AAAAAAAAAAAAH!!
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_2.jpg,Escoria prepares her sword to attack. A chimera jumps and attacks showing its claws and teeth,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_3.jpg,Escoria jumps holding her sword with boch arms and prepares to attack,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_4.jpg,Escoria looks back with a surprised face. The chimera passes by and charges forward,
data\output\divide_images_train\Capitulo 6\Comic6_005\panel_5.jpg,A beast attacks Edrei with its claw. Edrei cast a magic shiel with his wand. The magic shield cracks,
data\output\divide_images_train\Capitulo 6\Comic6_006\panel_1.jpg,Edrei covers his face with both arms and shows his teeth. A magic shield crashes violently,AGH!! CRASH!!!!
data\output\divide_images_train\Capitulo 6\Comic6_006\panel_2.jpg,Edrei falls with the back on the floor. Edrei has a painful face. A book is falling,
data\output\divide_images_train\Capitulo 6\Comic6_006\panel_3.jpg,Escoria slices her sword against a beast and wound it,
data\output\divide_images_train\Capitulo 6\Comic6_007\panel_1.jpg,A chimera looks back ands roars to Escoria,"¡APARTA HUMANA, ESTO NO TE INCUMBE AÚN"
data\output\divide_images_train\Capitulo 6\Comic6_007\panel_2.jpg,Escoria looks surprised,
data\output\divide_images_train\Capitulo 6\Comic6_007\panel_3.jpg,Escoria is turned back and looks at Edrei's legs on an arena scenario,
data\output\divide_images_train\Capitulo 6\Comic6_008\panel_1.jpg,Edrei points with his wand. Edrei looks wounded and hurted. A lightning impacts the floor near a chimera. A chimera jumps and evade the lightning,THOOM!!
data\output\divide_images_train\Capitulo 6\Comic6_008\panel_2.jpg,A beast tail flush the air,
data\output\divide_images_train\Capitulo 6\Comic6_008\panel_3.jpg,A beast tail impacts Escoria. Escoria defends herself with both arms. Escoria blocks the attack with arms and the sword,
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_1.jpg,Escoria is pushed away with force. Escoria blocks the attack. A chimera looks back. A shiny pendant bights from a chimera's neck. Escoria shouts,¡¡EDREI!! EN EL CUELLO TIENE ALGO ¿¡QUÉ ES?!
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_2.jpg,Edrei places his hand as a visor and sharpens his gaze,¿CUELLO?
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_3.jpg,A gold pendant with an emerald shines in green magic inside a bunch of hair,
data\output\divide_images_train\Capitulo 6\Comic6_009\panel_4.jpg,Edrei's face looks shocked and surprised,
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_1.jpg,Edrei shouts holding a magic wand. A Chimera jumps and attacks with its claws. Edrei narrowly dodges with a comical look of distress,"¡¡ES UN SELLO MÁGICO!! AAAH!!! ESQUIVA"
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_2.jpg,A claw is about to attack Edrei. Edrei looks concerned and tired,...¡¡ALGUIEN LA ESTÁ CONTROLANDO!!
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_3.jpg,A rock is smashing a beast claw, PAM!!
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_4.jpg,Escoria runs forward holding a sword an making a furious face,
data\output\divide_images_train\Capitulo 6\Comic6_010\panel_5.jpg,Escoria stands near Edrei with a tired expression. Edrei looks surprised, "BUSCA QUIEN LO CONTROLA, YO ME ENCARGO DE LA CRIATURA"
data\output\divide_images_train\Capitulo 6\Comic6_011\panel_1.jpg,Escoria swings her sword in front of a chimera. A chimera is roaring. Edrei runs holding a wand looking around him. Escoria shouts  in fury and a shine like fire is covering her,AAAAAAAAAAAARGHHH!!!
data\output\divide_images_train\Capitulo 6\Comic6_011\panel_2.jpg,A lot of flames are arounding a woman with a sword,
data\output\divide_images_train\Capitulo 6\Comic6_011\panel_3.jpg,Edrei look back him with a surprised and scary face,
