img_id,humidity,Cy,Cx,time,index,temp,Cz
1,78.7,5,4.1,1610892968.822775,0,157.9,4.6
1,80.0,5,4.1,1610892968.9566908,0,158.0,4.6
1,80.2,5,4.1,1610892969.0811687,0,158.0,4.6
1,79.5,5,4.1,1610892969.235698,0,158.0,4.6
1,79.1,5,4.1,1610892969.3699894,0,158.0,4.6
1,78.1,5,4.1,1610892969.5045085,0,158.0,4.6
1,76.2,5,4.1,1610892969.7042665,0,157.9,4.6
1,74.1,5,4.1,1610892969.9017553,0,158.0,4.6
1,78.4,5,4.1,1610892970.0479424,0,157.8,4.5
1,79.9,5,4.1,1610892970.1623595,0,158.0,4.6
1,79.8,5,4.1,1610892970.2865782,0,158.0,4.5
1,79.9,5,4.1,1610892970.4097016,0,158.0,4.6
1,79.7,5,4.1,1610892970.5276732,0,158.0,4.6
1,80.5,5,4.1,1610892970.6474907,0,158.0,4.6
1,80.1,5,4.1,1610892970.7651293,0,158.0,4.5
1,79.7,5,4.1,1610892970.8801336,0,158.0,4.5
1,78.6,5,4.1,1610892970.993629,0,157.9,4.6
1,77.7,5,4.1,1610892971.105626,0,158.0,4.5
1,77.7,5,4.1,1610892971.2221138,0,158.1,4.6
1,78.0,5,4.1,1610892971.3416395,0,158.0,4.6
1,78.0,5,4.1,1610892971.4624727,0,158.0,4.5
1,76.7,5,4.1,1610892971.5738578,0,157.9,4.6
1,81.0,5,4.1,1610892971.6959736,0,158.0,4.5
1,81.1,5,4.1,1610892971.807136,0,158.1,4.6
1,80.9,5,4.1,1610892971.9366732,0,158.0,4.6
1,81.0,5,4.1,1610892972.050792,0,158.1,4.5
1,80.6,5,4.1,1610892972.1694398,0,158.0,4.6
1,80.6,5,4.1,1610892972.2815814,0,158.0,4.6
1,80.2,5,4.1,1610892972.3957422,0,158.0,4.6
1,80.3,5,4.1,1610892972.5103016,0,158.0,4.5
1,80.2,5,4.1,1610892972.626481,0,158.0,4.5
1,80.3,5,4.1,1610892972.7440434,0,158.1,4.5
1,80.9,5,4.1,1610892972.854991,0,157.9,4.6
1,82.1,5,4.1,1610892972.9654746,0,158.0,4.6
