image_dir,description,text
data\output\divide_images_train\Capitulo 11\Comic11_001\panel_1.jpg,Edrei and Escoria are walking due a ship board,
data\output\divide_images_train\Capitulo 11\Comic11_001\panel_2.jpg,Edrei looks tired. Escoria is holding a leather stripe and seems to be looking forward,"CON SUERTE EL CAMINO NO ES MUY LARGO. SI ENCONTRAMOS A ALGUIEN QUE VAYA DIRECTO, SIN PARAR EN OTROS PUEBLOS A COMERCIAR SI, ESO ESTARÍA BIEN"
data\output\divide_images_train\Capitulo 11\Comic11_001\panel_3.jpg,A man leans on a wagon with one horse and greets,
data\output\divide_images_train\Capitulo 11\Comic11_001\panel_4.jpg,Escoria smiles with a cheerful expression,
data\output\divide_images_train\Capitulo 11\Comic11_002\panel_1.jpg,A bald man with a gray beard stands with a humble expression,PACO ¿VAS PARA EL PUEBLO?
data\output\divide_images_train\Capitulo 11\Comic11_002\panel_2.jpg,A bald man with a gray beard smiles with a happy face,"SI, YA VA SIENDO HORA DE VOLVER. ES UNA CASUALIDAD AGRADABLE QUE NOS VOLVAMOS A ENCONTRAR"
data\output\divide_images_train\Capitulo 11\Comic11_002\panel_3.jpg,A bald man with a gray beard has a curious face,?
data\output\divide_images_train\Capitulo 11\Comic11_002\panel_4.jpg,Edrei looks upset and sad,
data\output\divide_images_train\Capitulo 11\Comic11_003\panel_1.jpg,Escoria is going up a wagon near a horse. A bald bearded man point inside. Edrei walks turned back near a wagon's wheel,"SUBID PA'RRIBA, QUE SALIMOS YA ¡ARRIBA!"
data\output\divide_images_train\Capitulo 11\Comic11_003\panel_2.jpg,Escoria is sitted sharpening her sword. A bald bearded man hold a leather stripes,
data\output\divide_images_train\Capitulo 11\Comic11_003\panel_3.jpg,A bald man with a beard looks back himself. Edrei is reading a book,
data\output\divide_images_train\Capitulo 11\Comic11_004\panel_1.jpg,Edrei has a tired expression,NO HA SIDO ESPECIALMENTE AGRADABLE
data\output\divide_images_train\Capitulo 11\Comic11_004\panel_2.jpg,A bald man with a beard laughs funny,ESO SIEMPRE DECÍA MI MADRE
data\output\divide_images_train\Capitulo 11\Comic11_004\panel_3.jpg,Edrei's face looks upset and sad,
data\output\divide_images_train\Capitulo 11\Comic11_004\panel_4.jpg,Edrei turns his head with a tired face,
data\output\divide_images_train\Capitulo 11\Comic11_004\panel_5.jpg,Escoria turns her head back and look with a sad expression
data\output\divide_images_train\Capitulo 11\Comic11_005\panel_1.jpg,Escoria turns her head back and look with a sad expression,"EDREI, NO LO HEMOS HABLADO, ¿PORQUE QUERÍAN MATARTE?"
data\output\divide_images_train\Capitulo 11\Comic11_005\panel_2.jpg,A bearded bald man has a shocked and surprised expression,
data\output\divide_images_train\Capitulo 11\Comic11_005\panel_3.jpg,Edrei looks down and tired,NO LO SÉ
data\output\divide_images_train\Capitulo 11\Comic11_005\panel_4.jpg,Escoria turns back herself with an aggresive and impatient look,"¿DINERO, VENGANZA? SE QUE VIENES DE FAMILIA RICA, PERO NUNCA TE LO HE PREGUNTADO. PENSABA QUE ABANDONARÍAS A LA PRIMERA DE CAMBIO"
data\output\divide_images_train\Capitulo 11\Comic11_006\panel_1.jpg,Edrei closes a book and look behind his shoulder,¿CREES QUE PUEDE SER POR MI FAMILIA?
data\output\divide_images_train\Capitulo 11\Comic11_006\panel_2.jpg,Escoria turns herself back with a worried face,ES UNA POSIBILIDAD ¿DE QUÉ FAMILIA VIENES? NO ES QUE FALTE NOBLEZA EN ESTE IMPERIO
data\output\divide_images_train\Capitulo 11\Comic11_006\panel_3.jpg,Edrei closes a book and looks up his shoulder,GREYHERZ MI MADRES ES LA PRIMA HERMANA DE LA EMPERATRIZ LUREENE VON DREICHEN
data\output\divide_images_train\Capitulo 11\Comic11_006\panel_4.jpg,A bald man with a gray beard shivers and has a shocked face,
