"artists","explicit","genre","lyric","lyric_provider","musixmatch_rating","rank","title"
"LOS DOS CARNALES",0.0,"Music","Pocas amistades, a la más sincera la llevo en la lista
Pocos los amigos, los que me ayudaron y eso no se olvida
Los que se pasaron, ahora vienen solos, es hipocresía
No quieren lo que tengo, quieren no lo tenga y eso es pura envidia

Yo no tengo nada, pero mi palabra vale más que todo
Para un buen amigo, siempre está mi mano y esa vale oro
A los que me aprecian, saben bien de sobra que estamos pa' todo
Y cuando se ocupe, si se ocupa Lupe, le damos con Toño

Y es que el envidioso es más peligroso y no por su persona
Según son amigos pero, por la espalda, nunca te perdonan
Yo sigo en lo mío y no los ocupo ni pa' carcajadas
Acuérdense que Kiko enviaba al Chavo y no tenía nada

Y a poco no
Ah, raza
Puro Dos Carnales, señores
Y, al final, termina así

Voy para adelante y eso va dejando varios ofendidos
Ahora que se ofrecen, le diré una cosa a todos los ardidos
Que si, en su momento, me brindaron algo estoy agradecido
Pero no fue dado bien que me chingaron y no fue un ratito

No estoy presumiendo ni fanfarroneando, ese no es mi estilo
Nomás les aclaro que no soy dejado ya que estoy al tiro
Ese no era el punto, pero aprovechando y cantando les digo
Que soy buen amigo, pero también malo, si soy enemigo

Y es que el envidioso es más peligroso y no por su persona
Según son amigos pero, por la espalda, nunca te perdonan
Yo sigo en lo mío y no los ocupo ni pa' carcajadas
Acuérdense que Kiko enviaba al Chavo y no tenía nada

","MusicMatch",74.0,12,"EL ENVIDIOSO"
"FEID,J BALVIN,MALUMA,NICKY JAM,SECH & JUSTIN QUILES","","","A ninguna quiero como tú, como tú

Mirándome, preguntando, en mi celu' buscándome
Que ya no da más
Pa' otros cachos en la cara sacándome
To' los mensajes que has leído
Con babies que yo he conocido
A ninguna puedo tocar sin pensar que estoy contigo

Te pido porfa', no te vayas, quédate conmigo (Conmigo)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo (Bebé)
A ninguna quiero tocar
Por estar contigo

Te pido porfa', no te vayas, quédate conmigo (Conmigo, oh)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote
No te consigo (Bebé)
A ninguna quiero tocar
Por estar contigo (Así e' como suena, yeh)

Y yo sé que la cagué, no fue una, fueron tres
Y to' lo que te contaron, te contaron al revé'
Lo que hicimos esa noche, nunca me lo imaginé
Pero es que estaba' muy dura, no fue que enamoré

Ninguna como tú me droga
Sálvame de esta, quítame esta soga
Quiéreme, y no mire' la hora
Que es una noche loba

Te pido porfa', no te vayas, quédate conmigo (Conmigo, oh)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote
No te consigo (Bebé)
A ninguna quiero tocar
Por estar contigo

Te pido porfa', no te vayas, bebé
Que me muero de sed y es a ti que yo quiero virar al revé'
Sé bien que la cagué y las noche' son un fantasma
Ahora me visita el karma

No quiero que pienses que
Me las paso aún con estas locas
Yo esa vida la dejé
Pensando en ti me pasé de copas

Te llamé, suena el ringtone y no doy contigo
Vino tinto y llegé a tu recinto
Aún recuerdo cuando echabamo' el quinto
Tú tan lejo', ahora e' todo tan distinto

Te pido porfa', no te vayas, quédate conmigo (Conmigo, oh)
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote
No te consigo (Bebé)
A ninguna quiero tocar
Por estar contigo

Te pido porfa', no te vayas, quédate conmigo
Perdí la cuenta de los días que no te he comido
Me tienes como un loco buscándote, no te consigo
A ninguna quiero tocar
Por estar contigo

Te pido porfa, no te vayas, quédate conmigo

","Google","",13,"PORFA"
"DJ NELSON PRESENTA JAY WHEELER & MYKE TOWERS","","","","","",14,"LA CURIOSIDAD"
"ROSALIA & TRAVIS SCOTT",1.0,"Music","","MusicMatch",81.0,15,"TKN"
"FARRUKO",1.0,"","A ella ya no le motiva salir
Quedó traumada, todavía piensa en ese infeliz
Sus amigas la sonsacan a llevársela pa' la calle
Pa' que se despeje y olvide
De una relación tóxica acaba 'e salir
La convencieron y se arregló pa' ir (laramercy gang, Farru)

Y se va pa' la calle en busca de un jangueo (pri-yah-yah)
Donde pongan música, haya hookah y botelleo
Se va pa' la calle en busca de un jangueo
Ella no quiere amore' y está puesta pa'l perreo (pri-yah-yah)

Ella llegó depresiva pero le pusieron ""Tusa""
Ahí se soltó y se desabotonó la blusa
Se les pegó a la hookah y de la botella abusa (yah)
Dice que hoy se bebe y por ese cabrón da excusa' (blep)

Le da hasta abajo al ritmo del bajo
Lo que hablen de ella le importa un carajo
No quiere saber de compromiso
Y que se muera el cabrón que daño le hizo (ah)

Le da hasta abajo al ritmo del bajo
Lo que hablen de ella le importa un carajo
'Tá puesta pa' romper la carretera
Y ahora má' que está de moda estar soltera

Y se va pa' la calle en busca de un jangueo (pri-yah-yah)
Donde pongan música, haya hookah y botelleo
Se va pa' la calle en busca de un jangueo
Ella no quiere amore' y está puesta pa'l perreo (pri-yah-yah)

¿Dónde están la' mujere' que no tienen marío'?
Sí, sí, 'tamo en vivo, Farru (yah-yah-yah-yah)
Si e' lo que quiere', toma
Báilame de frente y dime: ""tra, tra""
Con la mano arriba grita: ""tra, tra""
Así e' que mi corrilo grita: ""ah"" (Farru, pu-pu-pum; bellaca)

Bueno ahora tu mami, dile: ""ah"" (Farru; bellaca, bellaca)
Tú ere' la que manda, dile: ""tra, tra"" (bellaca, bellaca)
Yo hice esto' pa' ti, grita (tra, tra; come on; bellaca)
¿Dónde están la' mujere' soltera'? (Farru)

Le da hasta abajo al ritmo del bajo
Lo que hablen de ella le importa un carajo
No quiere saber de compromiso
Y que se muera el cabrón que daño le hizo (ah)

Le da hasta abajo al ritmo del bajo
Lo que hablen de ella le importa un carajo
'Tá puesta pa' romper la carretera
Y ahora má' que está de moda estar soltera

Se va pa' la calle en busca de un jangueo (pri-yah-yah)
Donde pongan música, haya hookah y botelleo
Se va pa' la calle en busca de un jangueo
(Ella no quiere amore' y está puesta pa'l perreo; pri-yah-yah)

","MusicMatch",29.0,16,"LA TOXICA"
"OZUNA X ARCANGEL X COSCULLUELA X WISIN X MYKE TOWERS X JUANKA",1.0,"","","MusicMatch",73.0,17,"ENEMIGOS OCULTOS"
"ESLABON ARMADO",0.0,"Music","Con tus besos me haces sentir bien
Simplemente me encanta tu forma de ser
Cuando caminas matas a cualquier hombre
Y yo contigo neta si me enamoré
Me traes bien loco todo el día pensándote
Me atrevería a llevarte Banda, tal vez
Escribirte canciones, gritar tu nombre

Se me hace que ya tengo con quién
Vivir la vida, recorrerla constante
Conocer lugares románticos también
Llevarte a la luna o bajártela a donde
Tú quieras, mija sabes por ti pelearé
Seré el hombre que te dé lo que tú desees
Yo sé muy bien con verte que tú me quieres

Cuando estoy contigo se me va el martirio
Tú me tranquilizas al hablar bonito
Ahí estás cuando te necesito
Completas mi vida como un libro

Error nos has tenido, perfecta te miro
Y si algún día es que discutimos
Sé que nuestro amor no es desunido
Pase lo que pase estarás conmigo

Nada es mejor que acariciarte
Todas las noches recorrer tu bella piel
Hermosa siempre sin o con maquillaje
Tu vestidura tan casual, no pretendes
Por eso me enamoré la primera vez
Supe contigo iba a ser diferente
Ojalá que lo nuestro nunca se acabe

La piel se me enchina cuando tu te arrimas
Tu linda sonrisa, eso me cautiva
Por el oído dices cosillas
Muerdes tus labios y me hipnotizas

Cierra las cortinas, prende unas velitas
Lo que quiero ahorita, tú lo quieres igual
Esta rola va pa' ti, mi niña
Mil gracias por tenerme en tu vida

","MusicMatch",22.0,18,"CON TUS BESOS"
"MALUMA",0.0,"","No te has ido de mi vida, vida mía, pero ya te extraño
Quién diría, nadie lo creía, y ya vamos pa' un año
De solo pensar en perderte
Las milésimas se vuelven horas
Contigo yo me voy a muerte
Y mucho más cuando estamos a solas

Cuando nos falle la memoria y solo queden las fotografías
Que se me olvide todo menos que tú eres mía

Cuando los años nos pesen
Y las piernas no caminen
Los ojos se nos cierren
Y la piel ya no se estire

Cuando lo único que pese
Sea lo que hicimos en vida
Y aunque nada de esto pase, woh-oh
Eres el amor de mi vida, woh-oh-oh-oh
Eres el amor de mi vida, yeah yeah (dice)

Me encanta verte desnudita
Eres la pintura más bonita
Tanta belleza quién la explica
En la ducha moja'íta
Si salimos fino exquisita
Y en los parches under no se quita
To' los planes cambiaron
Era perro y me amarraron
El corazón me robaron
Justo y necesario
Me haces sentir millonario

Cuando los años nos pesen
Y las piernas no caminen
Los ojos se nos cierren
Y la piel ya no se estire

Cuando lo único que pese
Sea lo que hicimos en vida
Y aunque nada de esto pase, woh-oh
Eres el amor de mi vida

Siempre me he soñado una vida contigo
Más valen los hechos que lo prometido
Sin saber a donde vayas te persigo

Y cuando falle la memoria y solo queden las fotografías
Que se me olvide todo menos que tú eres mía

Cuando los años nos pesen
Y las piernas no caminen
Los ojos se nos cierren
Y la piel ya no se estire

Cuando lo único que pese
Sea lo que hicimos en vida
Y aunque nada de esto pase, woh-oh
Eres el amor de mi vida, woh-oh
Eres el amor de mi vida
Jaja

","MusicMatch",81.0,19,"ADMV"
"6IX9INE",1.0,"Hip Hop/Rap / Hardcore Rap","Ransom got that sauce in it

Se pinta los labios, hoy no tiene horario
Quiere que la busque en la Lambo
Esta noche coronamo'
Dale, para terminar lo que empezamo'
Oh oh, baila morena, baila morena
Oh oh, baila morena, baila morena
Oh oh, baila morena, baila morena
Oh oh, oh oh

Una nena así me hacía falta
Que metiera mi mano por su falda
Se ve que no es santa
Es como yo, que le gusta la maldad
Dale, baby, no sea' mala
No pares de moverte que eso me encanta
Bebecita dame una, una probaíta'
Tú eres una mamacita
Cuando chingamos, baby, tú nunca te quita'
Mueve to' ese booty, tan chulita como Anitta
Tú 'tá' dura 

Quiero maninanini, yaya
Dame tequila, no quiero vaina
Baila, le subo la mini, yaya
Tráeme bebida, no quiero agua
Quiero maninanini, yaya
Tráeme tequila, no quiero vaina
Baila, le subo la mini, yaya
Tráeme bebida, no quiero agua

Ponte freaky, freakytona
Tú eres una chapi chapeadora
Ella es bellaquísima, pero no se enamora
Mami, y chingando hay que da'te un diploma
Ninguna se te iguala
Ella me dice vente papi, y me la saca (saca)
Y me baila flow Shakira, waka waka (waka)
Ella tiene culo bello pero es flaca
La baby flaca

Quiero maninanini, yaya
Dame tequila, no quiero vaina
Baila, le subo la mini, yaya
Tráeme bebida, no quiero agua

La baby está borracha
Rakatá, rakatá, rakatá, rakatá
Rakatá, rakatá, rakatá, rakatá
Mami, ta ta ta ta ta ta ta ta
Ta ta ta ta ta ta ta ta
Ta ta ta ta ta ta ta ta
Ta ta ta ta ta ta ta ta
Ta ta ta ta ta ta ta ta

Quiero maninanini, yaya
Dame tequila, no quiero vaina
Baila, le subo la mini, yaya
Tráeme bebida, no quiero agua

Luian
Mambo Kingz
Jowny
BF (fire, fire, fire, fire)

","MusicMatch",74.0,20,"YAYA"
"CHRISTIAN NODAL",0.0,"","Todos hablan, nadie sabe la verdad
La gente opina desde su posición
Y afuera es diferente
Vieran qué feo se siente
El andar sufriendo por un mal de amor

Aquí abajo donde estamos los decepcionados
Llorar, fumar, tomar, rogar es casi necesario
Así estoy yo, ¿y cómo no?
Si se me fue mi amor

Aquí abajo donde se le sufre no hay opciones
Los días se te gastan dedicándole canciones
Con alcohol, pero mucho alcohol
Aquí abajo uno sí sufre un montón

Aquí abajo donde estamos los decepcionados
Llorar, fumar, tomar, rogar es casi necesario
Así estoy yo, ¿y cómo no?
Si se me fue mi amor

Aquí abajo donde se le sufre no hay opciones
Los días se te gastan dedicándole canciones
Con alcohol, pero mucho alcohol
Aquí abajo uno sí sufre un montón

","MusicMatch",78.0,21,"AQUI ABAJO"
"JHAY CORTEZ & BAD BUNNY",1.0,"","","MusicMatch",27.0,22,"COMO SE SIENTE"
